Cryptocurrency,Price
Bitcoin,"$47,434"
Ethereum,"$3,555.04"
Cardano,$2.41
Tether,$1.00
Binance Coin,$422.92
XRP,$1.09
Solana,$150.78
Polkadot,$34.95
Dogecoin,$0.238273
USD Coin,$1.00
Terra,$37.50
Avalanche,$64.70
Uniswap,$26.06
Chainlink,$29.62
Binance USD,$1.00
Litecoin,$184.17
Bitcoin Cash,$636.59
Algorand,$2.04
Wrapped Bitcoin,"$47,486"
Cosmos,$34.64
Internet Computer,$58.00
Polygon,$1.37
Filecoin,$83.17
TRON,$0.115180
FTX Token,$66.86
Stellar,$0.327691
VeChain,$0.115983
Ethereum Classic,$57.43
Theta Network,$6.56
Dai,$1.00
cETH,$71.37
Tezos,$6.66
Elrond,$265.95
Aave,$377.75
PancakeSwap,$22.30
OKB,$18.58
Quant,$362.55
Bitcoin Cash ABC,$258.69
EOS,$4.99
Crypto.com Coin,$0.190320
Monero,$262.97
eCash,$0.000247440882
cDAI,$0.021652015300
Hedera Hashgraph,$0.468966
Lido Staked Ether,"$3,525.80"
cUSDC,$0.022214484653
The Graph,$0.851952
IOTA,$1.50
Shiba Inu,$0.000008214319
Near,$8.63
Axie Infinity,$66.80
Kusama,$408.27
NEO,$50.10
Klaytn,$1.34
Fantom,$1.30
Waves,$30.74
LEO Token,$3.18
Bitcoin SV,$156.11
Sushi,$14.98
Maker,"$2,979.04"
THORChain,$10.15
BitTorrent,$0.004018159034
TerraUSD,$1.00
Synthetix Network Token,$14.29
Amp,$0.049703028186
Huobi Token,$14.43
Arweave,$52.96
Compound,$422.28
Celsius Network,$5.39
Dash,$207.14
Helium,$20.27
Huobi BTC,"$47,539"
Decred,$139.62
Chiliz,$0.335571
Harmony,$0.164662
Holo,$0.009723339805
NEM,$0.188889
Theta Fuel,$0.317910
IOST,$0.073282221363
Zcash,$136.30
Stacks,$1.50
Enjin Coin,$1.66
XDC Network,$0.123597
TrueUSD,$0.999529
Zilliqa,$0.110563
ICON,$2.03
Flow,$21.20
Mina Protocol,$5.60
xSUSHI,$18.04
Qtum,$12.66
yearn.finance,"$34,712"
Curve DAO Token,$3.05
OMG Network,$8.66
Bitcoin Gold,$69.22
Horizen,$100.59
Basic Attention Token,$0.771503
Osmosis,$6.43
Ravencoin,$0.116580
Decentraland,$0.843577
Audius,$2.74
